Year,Date,Hourly Demand Met (in MW),Datetime,Temperature_C,Humidity_%
2024,01-Jan 12am,140980.07,01-01-2024 00:00,17.87,77.03
2024,01-Jan 1am,137655.76,01-01-2024 01:00,18.45,72.02
2024,01-Jan 2am,135181.1,01-01-2024 02:00,18.23,76.68
2024,01-Jan 3am,134351.94,01-01-2024 03:00,18.1,71.82
2024,01-Jan 4am,137807.77,01-01-2024 04:00,17.66,76.13
2024,01-Jan 5am,146618.51,01-01-2024 05:00,17.66,74.12
2024,01-Jan 6am,160729.16,01-01-2024 06:00,19.56,76.54
2024,01-Jan 7am,178006.92,01-01-2024 07:00,20.37,79.95
2024,01-Jan 8am,192039.48,01-01-2024 08:00,20.1,79.38
2024,01-Jan 9am,200826.98,01-01-2024 09:00,23.21,55.04
2024,01-Jan 10am,205016.59,01-01-2024 10:00,22.52,43.85
2024,01-Jan 11am,205912.89,01-01-2024 11:00,23.47,55.66
2024,01-Jan 12pm,204187.69,01-01-2024 12:00,26.33,64.53
2024,01-Jan 1pm,197306.32,01-01-2024 13:00,25.71,57.82
2024,01-Jan 2pm,192048.28,01-01-2024 14:00,25.68,58.82
2024,01-Jan 3pm,185799.31,01-01-2024 15:00,26.68,55.92
2024,01-Jan 4pm,183290.93,01-01-2024 16:00,26.8,56.12
2024,01-Jan 5pm,182335.42,01-01-2024 17:00,27.02,62.27
2024,01-Jan 6pm,181939.92,01-01-2024 18:00,23.93,64.44
2024,01-Jan 7pm,175446.36,01-01-2024 19:00,23.79,61.11
2024,01-Jan 8pm,164922.56,01-01-2024 20:00,24.11,62.16
2024,01-Jan 9pm,157726.78,01-01-2024 21:00,20.64,77.62
2024,01-Jan 10pm,150740.4,01-01-2024 22:00,20.79,72.63
2024,01-Jan 11pm,145627.31,01-01-2024 23:00,20.87,70.45
2024,02-Jan 12am,141248.85,02-01-2024 00:00,17.96,70.02
2024,02-Jan 1am,137268.16,02-01-2024 01:00,18.29,73.51
2024,02-Jan 2am,134587.1,02-01-2024 02:00,17.7,72.41
2024,02-Jan 3am,133951.42,02-01-2024 03:00,18.01,70.62
2024,02-Jan 4am,137002.55,02-01-2024 04:00,18.09,71.8
2024,02-Jan 5am,146081.83,02-01-2024 05:00,17.55,71.24
2024,02-Jan 6am,161186.59,02-01-2024 06:00,20.11,79.15
2024,02-Jan 7am,181266.34,02-01-2024 07:00,19.67,71.4
2024,02-Jan 8am,193163.64,02-01-2024 08:00,19.57,75.38
2024,02-Jan 9am,202011.58,02-01-2024 09:00,23.45,60.93
2024,02-Jan 10am,206947.55,02-01-2024 10:00,23.47,60.43
2024,02-Jan 11am,207405.49,02-01-2024 11:00,23.31,55.99
2024,02-Jan 12pm,204543.94,02-01-2024 12:00,25.8,58.19
2024,02-Jan 1pm,197935.4,02-01-2024 13:00,25.6,55.51
2024,02-Jan 2pm,195745.3,02-01-2024 14:00,26.18,58.96
